src,dst,messages_sent,messages_received,messages_total,contribution_index
bitcoinboiii,bitcoinboiii,1,1,2,0.0
bitritetra,bitritetra,1,1,2,0.0
borsaparamm,borsaparamm,2,2,4,0.0
brokersirac,brokersirac,1,1,2,0.0
cem4010,cem4010,1,1,2,0.0
chae_bigwin,chae_bigwin,1,1,2,0.0
chervillbluezz,chervillbluezz,1,1,2,0.0
criptofasicko,criptofasicko,1,1,2,0.0
cryptomagrittes,cryptomagrittes,1,1,2,0.0
dawnbro17751885,sasallhakk,0,2,2,-1.0
decemberwincu,decemberwincu,1,1,2,0.0
deicemb3r,deicemb3r,1,1,2,0.0
denverbitcoin,hayeknowledge,0,1,1,-1.0
dpx_rae,dpx_rae,2,2,4,0.0
dreamcanada,dreamcanada,1,1,2,0.0
enk12zlbnul4zrq,justin_smile__,1,0,1,1.0
evettbasladik,evettbasladik,1,1,2,0.0
fatmacityx_,fatmacityx_,1,1,2,0.0
gaeggul2go,gaeggul2go,1,1,2,0.0
golunag53911614,lokesh051995,0,1,1,-1.0
gonzi7234,gonzi7234,1,1,2,0.0
hashcr,hashcr,1,1,2,0.0
hazeczar,hazeczar,1,1,2,0.0
heewincityx,heewincityx,1,1,2,0.0
hiro3524hi,hiro3524hi,1,1,2,0.0
iammaracaibo,iammaracaibo,1,1,2,0.0
javinvestor,javinvestor,3,3,6,0.0
jilairel,jilairel,1,1,2,0.0
johnamiah8,johnamiah8,2,2,4,0.0
joshua2070,joshua2070,1,1,2,0.0
jwongfigueroa,jwongfigueroa,1,1,2,0.0
kamilkrlikowsk6,kamilkrlikowsk6,1,1,2,0.0
kaya64137874,kaya64137874,1,1,2,0.0
kkbr99795409,kkbr99795409,1,1,2,0.0
malikgkbs,malikgkbs,1,1,2,0.0
mit2konstantine,mit2konstantine,2,2,4,0.0
mojangbandungg2,mojangbandungg2,1,1,2,0.0
mparale,mparale,1,1,2,0.0
mstfmrtevlksz,mstfmrtevlksz,1,1,2,0.0
orange7565,orange7565,1,1,2,0.0
phantommedalli1,phantommedalli1,1,1,2,0.0
ponta761,ponta761,1,1,2,0.0
puetsopxzgzoam7,puetsopxzgzoam7,2,2,4,0.0
sawrajeb,sawrajeb,4,4,8,0.0
sdpipakistan,sdpipakistan,1,1,2,0.0
serkanozbek34,serkanozbek34,1,1,2,0.0
ss34512,whu_dena,0,1,1,-1.0
the_readingape,floorisrising,1,0,1,1.0
tommaxofficial,spaceballseth,2,0,2,1.0
vikram_anurag,vikram_anurag,2,2,4,0.0
yamaino_tanda,yamaino_tanda,1,1,2,0.0
yoelsp16,yoelsp16,1,1,2,0.0
yoshibom_,yoshibom_,1,1,2,0.0
1buraker,1buraker,3,3,6,0.0
al3aab9,al3aab9,2,2,4,0.0
aoe198274,aoe198274,1,1,2,0.0
atchoumana,atchoumana,1,1,2,0.0
candy30283974,candy30283974,1,1,2,0.0
carteladonis,carteladonis,1,1,2,0.0
coin_viper,coin_viper,3,3,6,0.0
d_delphinidae,shelleyk73,2,1,3,0.33
doge_lit,doge_lit,4,4,8,0.0
doritos_kent,cryptoken97,0,1,1,-1.0
erenefe060,erenefe060,1,1,2,0.0
erhanyayabasi,erhanyayabasi,1,1,2,0.0
faturoti10,faturoti10,1,1,2,0.0
gzbkik,gzbkik,1,1,2,0.0
henryviribus,henryviribus,1,1,2,0.0
hoomanmirzaalii,hoomanmirzaalii,1,1,2,0.0
hujintao4real,sayid8964,0,1,1,-1.0
igor_270297,igor_270297,1,1,2,0.0
ivanpet89192969,realmetanurse,0,1,1,-1.0
jaimecloudman,criptoboludos,1,0,1,1.0
jakuxa,jakuxa,1,1,2,0.0
jihunwins,jihunwins,1,1,2,0.0
juanpad89807860,juanpad89807860,2,2,4,0.0
kladpah,kladpah,1,1,2,0.0
krissydom,shelleyk73,1,0,1,1.0
lostavatars,the_readingape,0,1,1,-1.0
miraclucky7777,crypton98,0,1,1,-1.0
nadodiyard,nadodiyard,20,20,40,0.0
nft_hennykwok,nft_hennykwok,1,1,2,0.0
niizkhun,niizkhun,1,1,2,0.0
nono_medina,nono_medina,1,1,2,0.0
noonsuparat,noonsuparat,1,1,2,0.0
omergin,omergin,1,1,2,0.0
omochicchichi,omochicchichi,1,1,2,0.0
oracleofwagmi,oracleofwagmi,1,1,2,0.0
pomerocket,pomerocket,1,1,2,0.0
prokash12132293,prokash12132293,1,1,2,0.0
rabbit278red152,rabbit278red152,2,2,4,0.0
raheelsaleem11,raheelsaleem11,3,3,6,0.0
recepkursun50,recepkursun50,1,1,2,0.0
redpeterr,redpeterr,1,1,2,0.0
reismasiah2501,sayid8964,0,1,1,-1.0
