dst,src,src_followers_count,src_friends_count,created_at,src_favourites_count,twitter_query,src_screen_name,dst_screen_name,hashtags,dst_name,time,src_id_str,text,src_listed_count,dst_id_str,src_name,src_statuses_count,time_
simplyheres,simplyheres,255,259,Sun Oct 31 13:03:34 +0000 2021,2363,DOGE,SimplyhereS,SimplyhereS,,S⭐,1635685414,1424715645883613185,"@doge_fan_ @msd_shreyas_ What  do u mean by stick to kitchen?What do you mean by men, sports?What do you mean by… https://t.co/rNRBkF9hYb",0,,S⭐,1024,['1635638400-1635724800']
staticimplicit,staticimplicit,695,320,Sun Dec 05 13:37:51 +0000 2021,11909,BTC,StaticImplicit,StaticImplicit,,火事場の家事職人™,1638711471,210402754,@asuka13565 @mayu_yuruyuru この前も中国恒大が持ってたbtc大量放出した額とデフォルトを回避した資金がピッタリ合ってたよね,5,,火事場の家事職人™,19437,['1638662400-1638748800']
steezeman420,steezeman420,14,167,Sun Nov 07 18:52:32 +0000 2021,147,BTC,steezeman420,steezeman420,"Shib, Shiba, BTC, BSC, ETH",steezeman,1636311152,975676500,"RT @OG_pandas1: We're giving away 10,000,000  in #Shib  🚀to 5 people 💎🙌💯Follow us!🔃Retweet and ❤️.💬Comment #Shiba#BTC   #BSC   #ETH #…",1,,steezeman,268,['1636243200-1636329600']
sultansh66,sultansh66,23,89,Sun Nov 28 21:20:25 +0000 2021,114,BTC,sultansh66,sultansh66,,سلطان الشمري,1638134425,1245382113861537794,RT @CryptoForSA: • المبتدئين:هل ستدخل السوق قريبًا؟هل دخلت السوق قبل فترة وجبزة؟- تهمّك المساحة الصوتية القادمة..دقيقتين ونبدأ..أعد ال…,0,,سلطان الشمري,259,['1638057600-1638144000']
nftaficionado,tyspectives,1463,762,Sun Nov 07 19:54:59 +0000 2021,6990,ETH,tyspectives,NftAficionado,,nftaficionado.eth,1636314899,383001697,RT @AKaiMorton: One of my favorite pieces I made this summer “Perfect Sun” collected by @NftAficionado has been listed for 15 ETH ✨It’s w…,25,1393289735540551680,crux,21013,['1636243200-1636329600']
yaasudahlahh,yaasudahlahh,34,605,Sun Dec 26 10:05:52 +0000 2021,179,BTC,yaasudahlahh,yaasudahlahh,"BSC, Binance",dahlah capek,1640513152,1473566692164845568,RT @AceDCoin: Trading is Live!https://t.co/MMFhMUYffXHyper Deflationary $AceD $BUSD REWARDSVisit: https://t.co/V3sSxDKmrC #BSC #Binance…,0,,dahlah capek,1514,['1640476800-1640563200']
321bitcoin,321bitcoin,7,173,Sun Dec 26 10:44:43 +0000 2021,1703,BTC,321bitcoin,321bitcoin,,321bitcoin,1640515483,1351582287318675460,"@Marketsbylili @btc_bill @getumbrel @RoninDojoUI myNode is free and open source, you can run it on pi4. @mynodebtc",0,,321bitcoin,63,['1640476800-1640563200']
adrianholmes8,adrianholmes8,403,956,Sun Dec 05 13:38:55 +0000 2021,87227,BTC,AdrianHolmes8,AdrianHolmes8,𝗕𝗶𝘁𝗰𝗼𝗶𝗻,Adrian E Holmes,1638711535,60209451,RT @AlgorandReport: ICYMI:@Algomint_io 𝗽𝗮𝗿𝘁𝗻𝗲𝗿𝗶𝗻𝗴 𝘄/@AlgoFoundation &amp; 𝗡𝗲𝘁𝘁𝗹𝗲 ...... 𝘄𝗶𝗹𝗹 𝗺𝗮𝗸𝗲 #𝗕𝗶𝘁𝗰𝗼𝗶𝗻 𝗖𝗮𝗿𝗯𝗼𝗻 𝗡𝗲𝗴𝗮𝘁𝗶𝘃𝗲𝘓𝘦𝘢𝘳𝘯 𝘔𝘰𝘳𝘦: http…,1,,Adrian E Holmes,35823,['1638662400-1638748800']
alexbell1502,alexbell1502,31,1038,Sun Dec 05 13:08:41 +0000 2021,929,BTC,AlexBell1502,AlexBell1502,"Bitcoin, BTC, BITCOIN",Alex Bell,1638709721,915871299616067584,RT @MartiniGuyYT: #Bitcoin to $300K before $30k 🧙‍♂️🚀IF #BTC HITS $30K FIRSTI WILL GIVE AWAY ONE #BITCOIN TO SOMEONE WHOA) LIKES THIS…,0,,Alex Bell,408,['1638662400-1638748800']
atokdase,atokdase,580,1373,Sun Dec 05 13:32:52 +0000 2021,161752,BTC,atokdase,atokdase,,6778,1638711172,1048870015275950080,RT @DaanCrypto: $BTC Is looking like a miniature version of the March 2020 crash so far. https://t.co/KtBGd4K83d,17,,6778,8477,['1638662400-1638748800']
