Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2021-07-18,2021-07-18,7.000000096013537e-06,248486447,0,0,0,2,0.6,SHIB
2021-07-19,2021-07-19,6.000000212225132e-06,300950718,0,2,-2,2,0.7999999999999999,SHIB
2021-07-20,2021-07-20,6.000000212225132e-06,319956020,-2,0,0,2,0.19999999999999996,SHIB
2021-07-21,2021-07-21,7.000000096013537e-06,426562130,0,0,2,2,1.0,SHIB
2021-07-22,2021-07-22,6.000000212225132e-06,280680850,0,0,-2,-2,-1.0,SHIB
2021-07-23,2021-07-23,6.000000212225132e-06,287940255,0,0,0,-2,-0.6,SHIB
2021-07-24,2021-07-24,6.000000212225132e-06,306621338,0,0,0,-2,-0.6,SHIB
2021-07-25,2021-07-25,6.000000212225132e-06,254137124,0,0,0,-2,-0.6,SHIB
2021-07-26,2021-07-26,6.000000212225132e-06,498257871,0,0,0,-2,-0.6,SHIB
2021-07-27,2021-07-27,6.000000212225132e-06,255458467,0,0,0,-2,-0.6,SHIB
2021-07-28,2021-07-28,6.000000212225132e-06,226907730,0,0,0,-2,-0.6,SHIB
2021-07-29,2021-07-29,6.000000212225132e-06,242987987,0,0,0,-2,-0.6,SHIB
2021-07-30,2021-07-30,6.000000212225132e-06,230614586,0,0,0,-2,-0.6,SHIB
2021-07-31,2021-07-31,6.000000212225132e-06,198884325,0,0,0,-2,-0.6,SHIB
2021-08-01,2021-08-01,6.000000212225132e-06,311601900,0,0,0,-2,-0.6,SHIB
2021-08-02,2021-08-02,6.000000212225132e-06,233023667,0,0,0,-2,-0.6,SHIB
2021-08-03,2021-08-03,6.000000212225132e-06,199311312,0,0,0,-2,-0.6,SHIB
2021-08-04,2021-08-04,6.000000212225132e-06,204792386,-2,0,0,-2,-1.0,SHIB
2021-08-05,2021-08-05,6.000000212225132e-06,223975108,0,0,0,-2,-0.6,SHIB
2021-08-06,2021-08-06,6.000000212225132e-06,248522840,0,0,0,-2,-0.6,SHIB
2021-08-07,2021-08-07,7.999999979801942e-06,734135430,2,-2,2,-2,-0.3999999999999999,SHIB
2021-08-08,2021-08-08,7.000000096013537e-06,923406924,0,0,-2,-2,-1.0,SHIB
