Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2019-11-27,2019-11-27,0.002339000115171075,100345294,0,0,2,-2,-0.19999999999999996,DOGE
2019-11-28,2019-11-28,0.0023129999171942472,97959428,0,0,-2,-2,-1.0,DOGE
2019-11-29,2019-11-29,0.0024560000747442245,97859845,0,0,2,-2,-0.19999999999999996,DOGE
2019-11-30,2019-11-30,0.002319999970495701,89565611,0,0,-2,-2,-1.0,DOGE
2019-12-01,2019-12-01,0.00229199999012053,77007809,0,0,-2,-2,-1.0,DOGE
2019-12-02,2019-12-02,0.0022350000217556953,66782510,0,0,-2,-2,-1.0,DOGE
2019-12-03,2019-12-03,0.0022169998846948147,62508732,0,0,-2,-2,-1.0,DOGE
2019-12-04,2019-12-04,0.002208000048995018,73151442,0,0,-2,-2,-1.0,DOGE
2019-12-05,2019-12-05,0.002222999930381775,66757792,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-06,2019-12-06,0.002225999953225255,66932958,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-07,2019-12-07,0.0022299999836832285,62933099,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-08,2019-12-08,0.0022380000445991755,55442239,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-09,2019-12-09,0.002208000048995018,62696753,0,0,-2,-2,-1.0,DOGE
2019-12-10,2019-12-10,0.0022040000185370445,69802464,0,0,-2,-2,-1.0,DOGE
2019-12-11,2019-12-11,0.002185000106692314,64108062,0,0,-2,-2,-1.0,DOGE
2019-12-12,2019-12-12,0.0021879998967051506,66238690,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-13,2019-12-13,0.0021750000305473804,65851726,-2,0,-2,-2,-1.4,DOGE
2019-12-14,2019-12-14,0.0021699999924749136,71849717,-2,0,-2,-2,-1.4,DOGE
2019-12-15,2019-12-15,0.0021540001034736633,66491990,-2,0,-2,-2,-1.4,DOGE
2019-12-16,2019-12-16,0.0021210000850260258,68370095,-2,0,-2,-2,-1.4,DOGE
2019-12-17,2019-12-17,0.0020179999992251396,85349928,-2,2,-2,-2,-0.8,DOGE
2019-12-18,2019-12-18,0.0021830000914633274,98147109,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-19,2019-12-19,0.0021230001002550125,79064574,0,0,-2,-2,-1.0,DOGE
2019-12-20,2019-12-20,0.0020749999675899744,67083802,0,0,-2,-2,-1.0,DOGE
2019-12-21,2019-12-21,0.0020840000361204147,66682998,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-22,2019-12-22,0.0021150000393390656,70976748,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-23,2019-12-23,0.0020729999523609877,77708509,0,0,-2,-2,-1.0,DOGE
2019-12-24,2019-12-24,0.0020729999523609877,71860410,0,0,0,-2,-0.6,DOGE
2019-12-25,2019-12-25,0.002088000066578388,79207264,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-26,2019-12-26,0.0020580000709742308,71906467,0,0,-2,-2,-1.0,DOGE
2019-12-27,2019-12-27,0.002053000032901764,75486740,0,0,-2,-2,-1.0,DOGE
2019-12-28,2019-12-28,0.0020639998838305473,64539193,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-29,2019-12-29,0.002067999914288521,67109832,0,0,2,-2,-0.19999999999999996,DOGE
2019-12-30,2019-12-30,0.0020540000405162573,73171188,0,0,-2,-2,-1.0,DOGE
2019-12-31,2019-12-31,0.0020280000753700733,69469785,0,0,-2,-2,-1.0,DOGE
2020-01-01,2020-01-01,0.00203300011344254,51180941,0,0,2,-2,-0.19999999999999996,DOGE
2020-01-02,2020-01-02,0.0020089999306946993,65071106,0,0,-2,-2,-1.0,DOGE
2020-01-03,2020-01-03,0.002145000034943223,62619988,0,0,2,-2,-0.19999999999999996,DOGE
2020-01-04,2020-01-04,0.0022410000674426556,94227582,0,-2,2,-2,-0.7999999999999999,DOGE
2020-01-05,2020-01-05,0.0024190000258386135,52631740,0,-2,2,-2,-0.7999999999999999,DOGE
2020-01-06,2020-01-06,0.0024629998952150345,54562409,2,-2,2,-2,-0.3999999999999999,DOGE
2020-01-07,2020-01-07,0.002432999899610877,52767343,0,-2,-2,-2,-1.6,DOGE
2020-01-08,2020-01-08,0.0022929999977350235,77251526,0,0,-2,-2,-1.0,DOGE
2020-01-09,2020-01-09,0.0022559999488294125,70690571,0,0,-2,-2,-1.0,DOGE
2020-01-10,2020-01-10,0.0023560000117868185,87683356,0,0,2,-2,-0.19999999999999996,DOGE
2020-01-11,2020-01-11,0.0023139999248087406,94203409,0,0,-2,-2,-1.0,DOGE
2020-01-12,2020-01-12,0.002380999969318509,79426215,0,0,2,-2,-0.19999999999999996,DOGE
2020-01-13,2020-01-13,0.0023580000270158052,83849846,0,0,-2,2,0.19999999999999996,DOGE
2020-01-14,2020-01-14,0.002469999948516488,128635383,0,0,2,2,1.0,DOGE
2020-01-15,2020-01-15,0.0023690001107752323,128940321,0,0,-2,2,0.19999999999999996,DOGE
2020-01-16,2020-01-16,0.0023449999280273914,98124199,0,0,-2,2,0.19999999999999996,DOGE
2020-01-17,2020-01-17,0.0024900001008063555,117752841,0,0,2,2,1.0,DOGE
2020-01-18,2020-01-18,0.002506999997422099,108133943,0,0,2,2,1.0,DOGE
