id,original_dataset,twitter_query,statuses_count,listed_count,favourites_count,friends_count,followers_count,name,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,cluster,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
anjali00360113,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,71,0,21,46,2,Anjali,1,1,3,2,5,2,0.0,cluster_4,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-12 00:00:00,2021-12-13 00:00:00
volumemonitor,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,0,0,0,0,0,VolumeMonitor.com 🚀,11,15,3,7,10,26,-0.15,cluster_4,0.35495835542678833,0.1804424226284027,7.4868903160095215,2021-12-12 00:00:00,2021-12-13 00:00:00
ibratiger1,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,15579,0,15981,104,83,El Tigre,2,2,4,2,6,4,0.0,cluster_4,0.8540215790271759,0.26360679417848587,9.93238878250122,2021-12-26 00:00:00,2021-12-27 00:00:00
bigwinwhenya,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,13347,1,2216,2562,195,sese🍀 | free tag,1,1,3,2,5,2,0.0,cluster_4,0.7335431575775146,0.1395719200372696,5.584160804748535,2021-12-26 00:00:00,2021-12-27 00:00:00
fullofzero,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,126,1,39,122,4,Jojo,1,1,3,2,5,2,0.0,cluster_4,0.6091012954711914,0.1296602338552475,4.836798667907715,2021-12-20 00:00:00,2021-12-21 00:00:00
jrvtrading,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,0,0,0,0,0,Pigmalión,1,4,3,4,7,5,-0.6,cluster_4,0.4661688208580017,0.2372065931558609,7.910171985626221,2021-11-24 00:00:00,2021-11-25 00:00:00
springcityx,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,4644,0,1040,1390,191,nana,1,1,5,2,7,2,0.0,cluster_4,0.9245400428771973,0.30142736434936523,4.442747592926025,2021-11-07 00:00:00,2021-11-08 00:00:00
mojtabajamal,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,12241,0,7082,452,258,Mojtaba jamal,1,1,6,2,8,2,0.0,cluster_4,,,,2021-12-26 00:00:00,2021-12-27 00:00:00
nao5575,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,24663,2,12709,1105,135,なお,3,3,4,2,6,6,0.0,cluster_4,,,,2021-11-28 00:00:00,2021-11-29 00:00:00
donpedr42537515,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,2985,0,4709,180,96,DonPedro,1,1,3,2,5,2,0.0,cluster_4,0.997524619102478,0.3670431077480316,5.288355350494385,2021-11-07 00:00:00,2021-11-08 00:00:00
pixel_character,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1674,10,3829,958,1198,Pixelcharacter,1,2,3,3,6,3,-0.33,cluster_4,0.8432087898254395,0.16212885081768036,4.830991744995117,2021-12-05 00:00:00,2021-12-06 00:00:00
bartjobi,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,2277,2,2678,806,228,Bart,1,1,3,2,5,2,0.0,cluster_4,0.6091012954711914,0.1296602338552475,4.836798667907715,2021-12-20 00:00:00,2021-12-21 00:00:00
sonalperen76,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,558,0,467,157,15,Mavi Vatan,1,1,3,2,5,2,0.0,cluster_4,0.801397442817688,0.3640884757041931,9.105535507202148,2021-12-05 00:00:00,2021-12-06 00:00:00
wat_bcg,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,38,0,4,24,0,BCGで稼ぎ隊,2,2,4,2,6,4,0.0,cluster_4,,,,2021-10-31 00:00:00,2021-11-01 00:00:00
mike_hogbin,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,100,0,93,106,16,Mike Hogbin,1,1,3,2,5,2,0.0,cluster_4,0.08185844868421555,0.3222617506980896,5.581785678863525,2021-11-07 00:00:00,2021-11-08 00:00:00
karla07288424,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,45,0,90,14,0,Karla,1,1,3,2,5,2,0.0,cluster_4,0.09256074577569962,0.25626906752586365,7.621267318725586,2021-11-07 00:00:00,2021-11-08 00:00:00
decemberluckkk,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,83361,1,13110,4997,295,LuckkyAnn @RichQUACK,1,1,3,2,5,2,0.0,cluster_4,0.7335431575775146,0.1395719200372696,5.584160804748535,2021-12-26 00:00:00,2021-12-27 00:00:00
durganisrael,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,164,0,0,0,0,Mr. Israel Durgan,1,1,3,2,5,2,0.0,cluster_4,0.4827398657798767,0.20056270062923431,6.114035606384277,2021-11-07 00:00:00,2021-11-08 00:00:00
bagdagulakar,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,19,0,0,0,0,Bağdagül Akar,1,1,3,2,5,2,0.0,cluster_4,0.36413371562957764,0.15789850056171417,5.599361419677734,2021-12-05 00:00:00,2021-12-06 00:00:00
seldasozeri,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,21,0,0,0,0,Selda Sözeri,1,1,3,2,5,2,0.0,cluster_4,0.5580641627311707,0.07184530794620514,5.446722507476807,2021-12-05 00:00:00,2021-12-06 00:00:00
feridun79290671,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1838,0,9483,331,42,zemher,1,1,3,2,5,2,0.0,cluster_4,0.7124845385551453,0.2919863164424896,10.785210609436035,2021-12-12 00:00:00,2021-12-13 00:00:00
jarabe_dpalo,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,774,2,162,52,42,Heisenberg,1,1,3,2,5,2,0.0,cluster_4,0.04177342355251312,0.22158344089984894,8.652771949768066,2021-12-05 00:00:00,2021-12-06 00:00:00
