dst,src,messages_sent,messages_received,messages_total,contribution_index,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
krisfromdaether,krisfromdaether,1,1,2,0.0,0.7827942967414856,0.2508261799812317,7.451987266540527,2021-12-21 00:00:00,2021-12-22 00:00:00
marble_marble20,marble_marble20,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
plaugesu,pe_urubu,1,0,1,1.0,0.21253666281700134,0.14319612085819244,9.271668434143066,2021-12-21 00:00:00,2021-12-22 00:00:00
rearteb04,rearteb04,1,1,2,0.0,0.7632144689559937,0.14585305750370026,7.372757434844971,2021-12-21 00:00:00,2021-12-22 00:00:00
snowylonly,snowylonly,1,1,2,0.0,0.2741371691226959,0.3343929052352905,5.387816905975342,2021-12-21 00:00:00,2021-12-22 00:00:00
danny___dimes,tampabaytre,0,1,1,-1.0,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
nelliesjewelry,denitsab,0,2,2,-1.0,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
its_me_kb_,gooseymarmay66,0,1,1,-1.0,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
intosa10,intosa10,1,1,2,0.0,0.9449172019958496,0.2221837043762207,4.704891204833984,2021-12-21 00:00:00,2021-12-22 00:00:00
link_swager,jinglesj,1,0,1,1.0,0.005955840926617384,0.26305314898490906,5.787094593048096,2021-12-21 00:00:00,2021-12-22 00:00:00
officialvevebot,officialvevebot,1,1,2,0.0,0.7302865982055664,0.31532740592956543,4.93618631362915,2021-12-21 00:00:00,2021-12-22 00:00:00
skypurppp,skypurppp,1,1,2,0.0,0.04854560270905495,0.20069274306297302,10.131399154663086,2021-12-21 00:00:00,2021-12-22 00:00:00
smpwned,smpwned,1,1,2,0.0,0.14866095781326294,0.33625486493110657,5.357623100280762,2021-12-21 00:00:00,2021-12-22 00:00:00
