id,friends_count,favourites_count,name,followers_count,listed_count,twitter_query,statuses_count,original_dataset,cluster
malek83576581,0,0,cano,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mandri81,662,17622,Álvaro Rodríguez,106,2,SOL,5881,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mcbethlinghams,0,0,"Fungible Franklin (3,III)",0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pepapacheco1,0,0,Pepa Pacheco,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pesfiles,0,0,PES-FILES.RU,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
solanajimmy,0,0,solana jimmy,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
we_konami,0,0,eFootball™公式,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
zoro_ssantoryu,0,0,Roronoa Zoro,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
angiemarsland,715,41295,anxe,510,2,SOL,79062,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
chicacerete,0,0,ChicaNoticias,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
emmafs_01,166,56505,mukkk 🐟,167,1,SOL,9635,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
hjromli5,0,0,Hj Romli,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
msvivicafox,0,0,Vivica A. Fox,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
shelbehraerae,0,0,shelby rae,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
campelolidia,183,13603,Lidia Campelo,68,1,SOL,8521,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
kakinotane_tks,0,0,かきのたね,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
lenny_x1,843,92720,Lenny 🦅🌴,2550,7,SHIB,78863,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mikki_2nd,0,0,うにお,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mryagi15,0,0,Gods Power,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mustafa55345,0,0,مصطفى علي الكرادي,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
oculusgaming,0,0,Oculus Gaming,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ourgallerybts,0,0,bts pics,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
primagold01,0,0,Grace.anon,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
realmarvellomj,0,0,ㅏ칸니,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
sky_h1_,0,0,SKY H1,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
thecrick,0,0,The Crick,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
thelebanesechad,0,0,thelebanesechad,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
antoninn13,189,13312,N,66,0,SOL,9379,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
businesmahabur,0,0,Business Mahabur,0,0,BTC,0,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
capital_zs,0,0,Capital_ZS,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
dimetra_ecrit,0,0,Dimetra,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
faizanisaq,0,0,Faizan Isaq,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
francb1004,85,5762,Fran,55,0,SOL,3837,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
hrp__5,0,0,࿐🇭‌𝒂𝒓𝒂𝒉𝒂𝒑 ɦɼρ࿐,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
joyparkjoyy,0,0,thejoyjeab,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
juryuc,0,0,UrchSparkles,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ontopofthehill_,0,0,CG🛡,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pablalunar,0,0,pabla 🚩,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pawe17462340,0,0,Paweł,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
tidespam,0,0,Tide's Giveaway Spam,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
vompyfn,0,0,VOMPY,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
zawazawa_nomori,0,0,ざわざわ森,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
dimkeipi,0,0,D.K.P.,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
dogsoftooting,0,0,DogsofTootingCommon,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
krumbsnatcha,0,0,Kade Walton,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mu9ab_suliman,271,30518,مووصعب👣,2302,3,SOL,19719,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ph1lza,0,0,Ph1LzA,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pierre_plottu,0,0,Pierre Plottu,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
rubrikinc,0,0,"Rubrik, Inc.",0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
selimcaner13,0,0,SelimCaner,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
thegodofvoid,0,0,BTC/Hodl till u DIEbbbrrrrr,0,0,BTC,0,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
topfreddie615,0,0,TopflightFreddie615,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
unnayuca,0,0,Unnayuka😷,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
agustdvi0r,0,0,𝒍𝒖៹솝🤟🏻,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
albagiraldez,570,156286,🎃Spooky K/DA ÐVA🎃🕷👻,344,4,SOL,68779,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
alfredodelmazo,0,0,Alfredo Del Mazo,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
arizahazim,0,0,Ariza Hazim,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
bilal_ajeeb,130,610,Muhammad Bilal Khan,23,0,SOL,660,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
clingybarbie,0,0,cici,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
luckyveatrize8,0,0,☘️🤑 EmmyLiciouss 🤑 ☘️ $SWOLE,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
marimo_momomoi,0,0,✴︎ Rimi ✴︎,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
miiriam_vg,610,33173,miiriam,312,1,SOL,13167,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
planet4animals,0,0,P4A,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
__eliass___,0,0,oui,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
brightwin_fess,0,0,/bw /bwau JGN KIRIM HASHTAGS!,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
genow06,0,0,Genowe,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
neil78414460,0,0,Neil,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
