date,src,dst,cluster_src,mes_sent,mes_received,mes_total,contr_index,sentiment_avg,emoti_avg,compl_avg,neighbours,cluster_dst,cluster_equal,neighbours_!cluster,neighbours_cluster
2021-10-31,lexuan2000,[twitter_query=sol],C7,1,1,2,0.0,0.9783561825752258,0.2538120448589325,5.945003509521484,1,C7,True,0,1
2021-11-22,dubya_auburn,hunthippy,C0,1,1,2,0.0,0.0861745998263359,0.3842369318008423,5.471631050109863,3,C0,True,0,3
2021-11-29,missnatoshi,guruwashere,C2,0,1,1,-1.0,,,,6,C2,True,2,4
2021-11-14,brtd2006,10_belg,C7,2,0,2,1.0,0.6680910587310791,0.2294943183660507,7.625187397003174,39,C7,True,4,35
2021-11-07,general_sani,systemebus15,C3,0,1,1,-1.0,,,,6,C5,False,3,3
2021-10-31,justiceaprl,jackmor98705125,C7,1,0,1,1.0,0.9968101382255554,0.3276330232620239,5.270466327667236,1,C7,True,0,1
2021-12-21,kingisback001,im100xreal,C7,1,0,1,1.0,0.8110501766204834,0.3918196558952331,4.968176364898682,5,C2,False,2,3
2021-11-07,cryptonewton,thecrowtrades,C7,0,1,1,-1.0,,,,19,C7,True,8,11
2021-11-14,anakpapiscott,gmwgmi_co,C7,1,0,1,1.0,0.8696882128715515,0.1711095869541168,5.305023193359375,5,C7,True,0,5
2021-11-28,utoday_en,kgobisid,C7,0,1,1,-1.0,,,,43,C7,True,1,42
2021-12-21,yourcryptohoney,sol_drinks,C5,2,0,2,1.0,0.6071428656578064,0.2142857164144516,8.400744438171387,4,C5,True,0,4
2021-10-27,take_gattcha,bokujyuumai,C2,2,0,2,1.0,,,,1,C2,True,0,1
2021-12-05,ukmlol,lifhestar,C0,0,1,1,-1.0,,,,2,C0,True,0,2
2021-12-12,silmar18,palmira73992004,C7,0,2,2,-1.0,,,,2,C7,True,0,2
2021-11-14,daniel_v85,heirmaxsnkrs,C7,1,0,1,1.0,0.99890798330307,0.3203335106372833,6.410781383514404,4,C7,True,0,4
2021-12-07,tha_rami,frosk404,C6,0,1,1,-1.0,,,,12,C6,True,6,6
2021-11-07,netanalist,myigitb,C7,0,1,1,-1.0,,,,4,C7,True,0,4
2021-12-26,corgimozzie,nftster3005,C7,1,0,1,1.0,0.6404192447662354,0.1217513531446456,8.153779029846191,11,C7,True,0,11
2021-10-31,solanaticket,nkechi37465338,C7,0,2,2,-1.0,,,,6,C7,True,1,5
2021-11-07,pukkaplumber,lastwordonspurs,C8,1,0,1,1.0,0.7696632146835327,0.1489228308200836,5.592283248901367,2,C8,True,0,2
2021-12-21,mommymenang,hardensuzanna,C7,0,1,1,-1.0,,,,3,C7,True,0,3
2021-12-05,loevjaem,[twitter_query=sol],C7,1,1,2,0.0,0.9068002700805664,0.3003919124603271,5.482141494750977,1,C7,True,0,1
2021-11-07,anirazhc_tm,whattheeth,C7,1,0,1,1.0,0.0039142714813351,0.2903960347175598,5.346953392028809,3,C7,True,0,3
2021-11-07,jayson_rahim,tylerwu_97,C0,1,0,1,1.0,0.8416633605957031,0.1506106108427047,5.488580703735352,1,C0,True,0,1
2021-12-26,anndylian,bossjitu1,C7,0,1,1,-1.0,,,,127,C7,True,3,124
2021-12-12,ehtesham_fassih,catiecoin,C7,1,0,1,1.0,0.4205352962017059,0.2587581574916839,4.981589794158936,8,C7,True,0,8
2021-12-05,daeri89242446,mexc_global,C7,1,0,1,1.0,0.6553332209587097,0.152227833867073,5.808291912078857,2,C7,True,0,2
